Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
RODEO FIRE DEPARTMENT,ROF,38.035000,-122.270000,Contra Costa
RICHMOND CITY HALL,RHL,37.936900,-122.342700,Contra Costa
TILDEN PARK,TLD,37.883600,-122.221900,Contra Costa
EL SOBRANTE,ESB,37.981030,-122.304290,Contra Costa
FLOOD CONTROL HQ - CONTRA COSTA CO,FCD,37.988000,-122.085000,Contra Costa
ST MARYS COLLEGE,SMC,37.842000,-122.107000,Contra Costa
MT DIABLO PARK HEADQUARTERS,MDH,37.850910,-121.931290,Contra Costa
ORINDA FIRE STATION 43,ODA,37.899569,-122.170666,Contra Costa
ROSSMOOR,RSS,37.870600,-122.064400,Contra Costa
DANVILLE LIBRARY,DVB,37.820800,-121.995600,Contra Costa
YGNACIO VALLEY FIRE,YGF,37.938000,-122.028000,Contra Costa
ROCKY RIDGE ,RKY,37.817000,-122.062000,Contra Costa
CUMMINGS PEAK,CMG,38.028000,-122.197000,Contra Costa
ARROYO DEL HAMBRE,ABA,37.977000,-122.178000,Contra Costa
DUBLIN-SAN RAMON FIRE HOUSE,DBF,37.732000,-121.927000,Contra Costa
MOUNT DIABLO PEAK,DBL,37.880000,-121.918000,Contra Costa
CONCORD PAVILION,CCP,37.985000,-121.937700,Contra Costa
WEAPONS STATION FIRE,WSF,38.019000,-122.020000,Contra Costa
HIGHLAND PEAK ,HLD,37.814500,-121.808400,Contra Costa
BIXLER PUMPING PLANT,BXP,37.939700,-121.623500,Contra Costa
LOS MEDANOS,LSM,37.997300,-121.856400,Contra Costa
KREGOR PEAK,KGR,37.943000,-121.890000,Contra Costa
IRONHOUSE SANITARY DISTRICT,ISD,38.001300,-121.709400,Contra Costa
BETHEL ISLAND MUNCIPAL IMPROVEMENT DIST,BIF,38.014740,-121.638400,Contra Costa
BYRON AIRPORT ,BAP,37.830600,-121.622500,Contra Costa
RODDY RANCH GOLF CLUB,RRG,37.923600,-121.785800,Contra Costa
TASSAJARA,TAS,37.787441,-121.874947,Contra Costa
BRENTWOOD - CONTRA COSTA CO CORP YARD,BTD,37.920000,-121.678000,Contra Costa